index,question,ground_truth,model_answer_raw,model_answer_parsed,is_correct
1,"You have successfully logged on a Linux system. You want to now cover your trade Your login attempt may
be logged on several files located in /var/log. Which file does NOT belongs to the list:
A.  user.log
B.  auth.fesg
C.  wtmp
D.  btmp
",A,The answer is A.,N/A,False
2,"What is the following command used for?
sqlmap.py-u
,,http://10.10.1.20/?p=1
&forumaction=search"" -dbs
A.  Creating backdoors using SQL injection
B.  A Enumerating the databases in the DBMS for the URL
C.  Retrieving SQL statements being executed on the database
D.  Searching database statements at the IP address given
",B,The answer is D.,N/A,False
3,"Sam, a web developer, was instructed to incorporate a hybrid encryption software program into a web
application to secure email messages. Sam used an encryption software, which is a free implementation of the
OpenPGP standard that uses both symmetric-key cryptography and asymmetric-key cryptography for
improved speed and secure key exchange. What is the encryption software employed by Sam for securing the
email messages?
A.  PGP
B.  S/MIME
C.  SMTP
D.  GPG
",D,A,A,False
4,"Which of the following is assured by the use of a hash?
A.  Authentication
B.  Confidentiality
C.  Availability
D.  Integrity
",D,The correct option is A,N/A,False
5,"What is not a PCI compliance recommendation?
A.  Use a firewall between the public network and the payment card data.
B.  Use encryption to protect all transmission of card holder data over any public network.
C.  Rotate employees handling credit card transactions on a yearly basis to different departments.
D.  Limit access to card holder data to as few individuals as possible.
",C,A. Use a firewall,A,False
6,"What is the proper response for a NULL scan if the port is closed?
A.  SYN
B.  ACK
C.  FIN
D.  PSH
E.  RST
F.  No response
",E,The correct answer is option,N/A,False
7,"What kind of detection techniques is being used in antivirus software that identifies malware by collecting data
from multiple protected systems and instead of analyzing files locally it?s made on the provider?s
environment?
A.  Behavioral based
B.  Heuristics based
C.  Honeypot based
D.  Cloud based
",D,D,D,True
8,"Which type of security feature stops vehicles from crashing through the doors of a building?
A.  Bollards
B.  Receptionist
C.  Mantrap
D.  Turnstile
",A,C,C,False
9,"A large mobile telephony and data network operator has a data center that houses network elements. These are
essentially large computers running on Linux. The perimeter of the data center is secured with firewalls and
IPS systems.
What is the best security policy concerning this setup?
A.  Network elements must be hardened with user ids and strong passwords. Regular security tests and audits should be performed.
B.  As long as the physical access to the network elements is restricted, there is no need for additional measures.
C.  There is no need for specific security measures on the network elements as long as firewalls and IPSsystems exist.
D.  The operator knows that attacks and down time are inevitable and should have a backup site.
",A,A.  Network elements,A,True
10,"Which regulation defines security and privacy controls for Federal information systems and organizations?
A.  HIPAA
B.  EU Safe Harbor
C.  PCI-DSS
D.  NIST-800-53
",D,A. HIPAA,A,False
11,"is a set of extensions to DNS that provide the origin authentication of DNS data to DNS clients (resolvers) so
as to reduce the threat of DNS poisoning, spoofing, and similar types of attacks.
A.  DNSSEC
B.  Resource records
C.  Resource transfer
D.  Zone transfer
",A,A.  DNSSEC,A,True
12,"A hacker is an intelligent individual with excellent computer skills and the ability to explore a computer?s
software and hardware without the owner?s permission. Their intention can either be to simply gain knowledge
or to illegally make changes.
Which of the following class of hacker refers to an individual who works both offensively and defensively at
various times?
A.  White Hat
B.  Suicide Hacker
C.  Gray Hat
D.  Black Hat
",C,A.  White Hat,A,False
13,"Session splicing is an IDS evasion technique in which an attacker delivers data in multiple, small sized packets
to the target computer, making it very difficult for an IDS to detect the attack signatures. Which tool can be
used to perform session splicing attacks?
A.  tcpsplice
B.  Burp
C.  Hydra
D.  Whisker
",D,A. tcpsp,A,False
14,"An incident investigator asks to receive a copy of the event logs from all firewalls, proxy servers, and
Intrusion Detection Systems (IDS) on the network of an organization that has experienced a possible breach of
security. When the investigator attempts to correlate the information in all of the logs, the sequence of many of
the logged events do not match up.
What is the most likely cause?
A.  The network devices are not all synchronized.
B.  Proper chain of custody was not observed while collecting the logs.
C.  The attacker altered or erased events from the logs.
D.  The security breach was a false positive.
",A,"## A

## B",N/A,False
15,"A zone file consists of which of the following Resource Records (RRs)?
A.  DNS, NS, AXFR, and MX records
B.  DNS, NS, PTR, and MX records
C.  SOA, NS, AXFR, and MX records
D.  SOA, NS, A, and MX records
",D,"C. SOA,",C,False
16,"If a tester is attempting to ping a target that exists but receives no response or a response that states the
destination is unreachable, ICMP may be disabled and the network may be using TCP. Which other option
could the tester use to get a response from a host using TCP?
A.  Traceroute
B.  Hping
C.  TCP ping
D.  Broadcast ping
",B,A. Traceroute,A,False
17,"This wireless security protocol allows 192-bit minimum-strength security protocols and cryptographic tools to
protect sensitive data, such as GCMP-2S6. MMAC-SHA384, and ECDSA using a 384-bit elliptic curve.
Which is this wireless security protocol?
A.  WPA2 Personal
B.  WPA3-Personal
C.  WPA2-Enterprise
D.  WPA3-Enterprise
",D,A.  WPA,A,False
18,"John, a professional hacker, targeted an organization that uses LDAP for accessing distributed directory
services. He used an automated tool to anonymously query the IDAP service for sensitive information such as
usernames. addresses, departmental details, and server names to launch further attacks on the target
organization.
What is the tool employed by John to gather information from the IDAP service?
A.  jxplorer
B.  Zabasearch
C.  EarthExplorer
D.  Ike-scan
",A,As John is a professional,A,True
19,"A friend of yours tells you that he downloaded and executed a file that was sent to him by a coworker. Since
the file did nothing when executed, he asks you for help because he suspects that he may have installed a
trojan on his computer.
what tests would you perform to determine whether his computer Is Infected?
A.  Use ExifTool and check for malicious content.
B.  You do not check; rather, you immediately restore a previous snapshot of the operating system.
C.  Upload the file to VirusTotal.
D.  Use netstat and check for outgoing connections to strange IP addresses or domains.
",D,The correct answer is A,N/A,False
20,"Which type of sniffing technique is generally referred as MiTM attack?
A.  Password Sniffing
B.  ARP Poisoning
C.  Mac Flooding
D.  DHCP Sniffing
",B,"### Explanation:

### Solution",N/A,False
21,"Johnson, an attacker, performed online research for the contact details of reputed cybersecurity firms. He
found the contact number of sibertech.org and dialed the number, claiming himself to represent a technical
support team from a vendor. He warned that a specific server is about to be compromised and requested
sibertech.org to follow the provided instructions. Consequently, he prompted the victim to execute unusual
commands and install malicious files, which were then used to collect and pass critical Information to
Johnson's machine. What is the social engineering technique Steve employed in the above scenario?
A.  Quid pro quo
B.  Diversion theft
C.  Elicitation
D.  Phishing
",A,A,A,True
22,"There have been concerns in your network that the wireless network component is not sufficiently secure. You
perform a vulnerability scan of the wireless network and find that it is using an old encryption protocol that
was designed to mimic wired encryption, what encryption protocol is being used?
A.  WEP
B.  RADIUS
C.  WPA
D.  WPA3
",A,A.  WEP,A,True
23,"Wilson, a professional hacker, targets an organization for financial benefit and plans to compromise its
systems by sending malicious emails. For this purpose, he uses a tool to track the emails of the target and
extracts information such as sender identities, mall servers, sender IP addresses, and sender locations from
different public sources. He also checks if an email address was leaked using the haveibeenpwned.com API.
Which of the following tools is used by Wilson in the above scenario?
A.  Factiva
B.  Netcraft
C.  infoga
D.  Zoominfo
",C,The above question is based,N/A,False
24,"Allen, a professional pen tester, was hired by xpertTech solutWns to perform an attack simulation on the
organization's network resources. To perform the attack, he took advantage of the NetBIOS API and targeted
the NetBIOS service. B/enumerating NetBIOS, he found that port 139 was open and could see the resources
that could be accessed or viewed on a remote system. He came across many NetBIOS codes during
enumeration.
identify the NetBIOS code used for obtaining the messenger service running for the logged-in user?
A.  <1B>
B.  <00>
C.  <03>
D.  <20>
",C,The correct answer is option,N/A,False
25,"When discussing passwords, what is considered a brute force attack?
A.  You attempt every single possibility until you exhaust all possible combinations or discover the password
B.  You threaten to use the rubber hose on someone unless they reveal their password
C.  You load a dictionary of words into your cracking program
D.  You create hashes of a large number of words and compare it with the encrypted passwords
E.  You wait until the password expires
",A,A,A,True
26,"You are programming a buffer overflow exploit and you want to create a NOP sled of 200 bytes in the
program exploit.c

char shellcode[]=
""\x31\xc0\xb0\x46\x31\xdb\x31\xc9\xcd\x80\xeb\x16\x5b\x31\xc0""
""\x88\x43\x07\x89\x5b\x08\x89\x43\x0c\xb0\x0b\x8d\x4b\x08\x8d""
""\x53\x0c\xcd\x80\xe8\xe5\xff\xff\x2f\x62\x69\x6e\x2f\x73""
""\x68"";



What is the hexadecimal value of NOP instruction?
A.  0x60
B.  0x80
C.  0x70
D.  0x90
",D,"A
The NOP instruction",A,False
27,"Yancey is a network security administrator for a large electric company. This company provides power for
over 100, 000 people in Las Vegas. Yancey has worked for his company for over 15 years and has become
very successful. One day, Yancey comes in to work and finds out that the company will be downsizing and he
will be out of a job in two weeks. Yancey is very angry and decides to place logic bombs, viruses, Trojans, and
backdoors all over the network to take down the company once he has left. Yancey does not care if his actions
land him in jail for 30 or more years, he just wants the company to pay for what they are doing to him.
What would Yancey be considered?
A.  Yancey would be considered a Suicide Hacker
B.  Since he does not care about going to jail, he would be considered a Black Hat
C.  Because Yancey works for the company currently; he would be a White Hat
D.  Yancey is a Hacktivist Hacker since he is standing up to a company that is downsizing
",A,Yancey would be,N/A,False
28,"Why containers are less secure that virtual machines?
A.  Host OS on containers has a larger surface attack.
B.  Containers may full fill disk space of the host.
C.  A compromise container may cause a CPU starvation of the host.
D.  Containers are attached to the same virtual network.
",A,A.  Host OS,A,True
29,"George is a security professional working for iTech Solutions. He was tasked with securely transferring
sensitive data of the organization between industrial systems. In this process, he used a short-range
communication protocol based on the IEEE 203.15.4 standard. This protocol is used in devices that transfer
data infrequently at a low rate in a restricted area, within a range of 10-100 m. What is the short-range wireless
communication technology George employed in the above scenario?
A.  MQTT
B.  LPWAN
C.  Zigbee
D.  NB-IoT
",C,"The answer is B,",N/A,False
30,"You are performing a penetration test for a client and have gained shell access to a Windows machine on the
internal network. You intend to retrieve all DNS records for the internal domain, if the DNS server is at
192.168.10.2 and the domain name is abccorp.local, what command would you type at the nslookup prompt to
attempt a zone transfer?
A.  list server=192.168.10.2 type=all
B.  is-d abccorp.local
C.  Iserver 192.168.10.2-t all
D.  List domain=Abccorp.local type=zone
",B,The question asks for the,N/A,False
