0,What organization is the CEH™ certification associated with?,McGraw Hill,International Council of E-Commerce Consultants® (EC-Council),Cybersecurity Training Alliance,Ethical Hacking Institute,B
1,"Which of the following actions is explicitly prohibited by McGraw Hill's terms of use for the copyrighted work, without prior consent?","Using the work for personal, noncommercial use.",Storing and retrieving one copy of the work.,Modifying the work to create derivative works.,Printing the work with initial caps for trademarked names.,C
2,Which of the following best describes Matt Walker's professional background in IT security based on the provided text?,He has primarily focused on software development for NASA.,"He has extensive experience in network infrastructure and education, including roles with Cisco Networking Academy and NASA.",His expertise lies mainly in cybersecurity policy and legal aspects.,He has worked as a penetration tester for various private companies but not for government agencies.,B
3,"Which of the following certifications is held by Brad Horton, according to the provided text?",Certified Cloud Security Professional (CCSP),Certified Information Systems Security Professional (CISSP),CompTIA Security+,Certified Data Privacy Solutions Engineer (CDPSE),B
4,Which organization's trademark is CEH recognized as in the United States and other countries?,McGraw Hill,Department of Defense,EC-Council,United States Government,C
5,"According to the text, which US government agency is mentioned as providing some glossary terms that may be considered public information?",The Department of Defense,The U.S. Department of Commerce,The National Institute of Standards and Technology (NIST),The Federal Bureau of Investigation (FBI),C
6,What is a key restriction regarding the use of the copyrighted work mentioned in the text?,It can be freely distributed for commercial purposes.,Decompiling or reverse engineering the work is permitted.,Modification or creation of derivative works requires prior consent.,Users can sublicense the work to others without any limitations.,C
7,Which chapter in the provided text focuses on gathering information relevant to ethical hacking?,Chapter 1: Getting Started: Essential Knowledge,Chapter 2: Reconnaissance: Information Gathering for the Ethical Hacker,Chapter 3: Scanning and Enumeration,Chapter 4: Sniffing and Evasion,B
8,Which chapter in this document focuses on techniques that involve social manipulation and physical access for security purposes?,Chapter 7 Wireless Network Hacking,Chapter 9 Security in Cloud Computing,Chapter 10 Trojans and Other Attacks,Chapter 12 Low Tech: Social Engineering and Physical Security,D
9,Which of the following is a primary activity within the reconnaissance phase of ethical hacking?,Exploiting system vulnerabilities,Gathering information about a target,Developing malware,Implementing security patches,B
10,"Which chapter in this guide focuses on understanding network fundamentals like TCP/IP and subnetting, as well as methods for scanning and enumeration?",Chapter 1: Other Tools,Chapter 2: Review and Questions,Chapter 3: Scanning and Enumeration,Chapter 4: Vulnerability Scanning,C
11,What is the primary focus of Chapter 4 in the provided text?,Understanding Windows Security Architecture,Exploring Sniffing and Evasion techniques,Learning about Linux Security Architecture,Mastering methods for attacking a system,B
12,Which chapter focuses on methods for compromising web applications and servers?,Chapter 5: Privilege Escalation and Executing Applications,Chapter 6: Web-Based Hacking: Servers and Applications,Chapter 7: Wireless Network Hacking,Chapter 4: Authentication and Passwords,B
13,Which chapter of the CEH™ Certified Ethical Hacker All-in-One Exam Guide focuses on understanding and attacking wireless networks?,Chapter 8: Mobile Communications and the IoT,Chapter 7: Wireless Network Hacking,Chapter 9: Cloud Computing Security,Chapter 6: Network Scanning and Vulnerability Analysis,B
14,"What specific types of malware are discussed as distinct categories within the provided text, separate from general ""Malware"" attacks?",Viruses and Worms,Ransomware and Spyware,Adware and Scareware,Rootkits and Keyloggers,A
15,"Which of the following topics is covered in Chapter 11, according to the provided text?",Malware Countermeasures and Remaining Attacks,Denial of Service and Session Hijacking,Cryptography and Encryption Overview,Chapter Reviews and Questions,C
16,Which chapter of the text focuses on social engineering and physical security techniques?,Cryptography Attacks,Low Tech: Social Engineering and Physical Security,The Pen Test: Putting It All Together,More Terminology,B
17,Which of the following categories of tools is listed in Appendix A of the provided text?,Database Management Tools,Operating System Utilities,Scanning and Enumeration Tools,Web Development Frameworks,C
18,Which of the following is listed as a technical support resource in the provided text?,Single User License Terms and Conditions,Glossary,TotalTester Online,Appendix B,C
19,Which of the following is NOT mentioned as a personal trait that the author believes might hinder their ability to create a useful study book?,Lack of patience,Limited technical expertise,Short attention span,Poor communication skills,B
20,Which of the following roles is specifically mentioned as a skill of Brad Horton in the text?,Network Administrator,Pen Tester,Database Administrator,Security Analyst,B
21,"What is the general nature of the Certified Ethical Hacker (CEH) examination, according to the text?",It is a straightforward exam that relies heavily on rote memorization.,It is an easy certification to achieve with minimal preparation.,It is a challenging examination that requires more than just simple memorization.,It is a basic test focused on fundamental cybersecurity concepts.,C
22,Which of the following is a protocol that uses TCP by default according to the text?,SMNP,Telnet,SSH,FTP,B
23,"What is a crucial element required for passing the CEH certification exam, beyond just reading the provided guide?",Memorizing all the technical terms.,Having prior experience as a 'Super-Hacker'.,"Engaging in practical, hands-on exercises.",Understanding the history of ethical hacking.,C
24,"According to the text, what is the primary goal and focus of this book?",To provide a quick and easy path to IT security certification.,To help readers become employed ethical hackers by passing the CEH v11 exam.,To cover all current CEH topics and future expansions.,To offer a comprehensive overview of the latest cybersecurity news.,B
25,"According to the text, which component is included in each chapter to highlight areas requiring concentration for the exam, without providing explicit answers?",Sidebars,Notes,Exam Tips,Site Links,C
26,Which statement best describes the author's advice regarding using a single book for certification exams?,A single book is sufficient for passing any certification exam.,Reliance on a single book for certification may lead to overconfidence.,Certification exams are static and do not incorporate new material.,Books are the only reliable source for preparing for certification exams.,B
27,What is the official title of the exam mentioned in the text as of the writing?,Certified Ethical Hacker CEH,Cybersecurity Essentials Exam,CEH 312-50,Ethical Hacking Professional Certification,C
28,"When encountering code questions on an exam, what specific detail should a candidate pay close attention to that can often help in identifying the answer?",The overall complexity of the code snippet,The programming language used in the code snippet,The port numbers mentioned within the code snippet,The date the code snippet was written,C
29,What is the primary purpose of the CEH Practical Exam?,To provide a theoretical foundation for aspiring Ethical Hackers.,To allow candidates to demonstrate their Ethical Hacking skills and abilities in a practical setting.,To test candidates on their knowledge of cybersecurity laws and regulations.,To showcase the top performers in Ethical Hacking on a global leader board.,B
30,What is a key challenge when creating study materials for certifications like EC-Council's Certified Ethical Hacker?,EC-Council's objectives are always clearly worded and stable over time.,"The exam content can change rapidly, including new or obscure attacks, making comprehensive coverage difficult.","Editors consistently agree with authors on the best study methods, such as including objective maps.","Certification providers, including EC-Council, typically do not update their exam content after initial release.",B
31,"According to the CEH v11 certification blueprint, which domain covers the techniques of footprinting and reconnaissance?",System Hacking Phases and Attack Techniques,Reconnaissance Techniques,Network and Perimeter Hacking,Web Application Hacking,B
32,What is one of the requirements EC-Council asks for to protect the integrity of the CEH certification program?,A minimum of five years of experience in cybersecurity.,A signed agreement to not use acquired skills for illegal attacks and to indemnify EC-Council.,Proof of a Bachelor's degree in Computer Science.,Completion of a cybersecurity internship at a Fortune 500 company.,B
33,Which training option allows individuals to work through course material and labs independently without an instructor?,Client site training,iClass,"Live, online, instructor-led classes",Self-study courseware purchase,B
34,Which of the following is a requirement for a candidate to be considered for the EC-Council certification exam without attending official training?,Possessing a CEH certification of version 8 or later.,Having a minimum of three years of experience in the InfoSec domain.,Submitting a non-refundable eligibility application fee of $50.,Holding a CEH certification of version 1 to 7.,D
35,What is a fundamental component of information security that an ethical hacker needs to understand?,Voucher code redemption timelines,TCP/IP networking components,Book publishing processes,ISP router installation,B
36,"According to the text, what was the initial subtle sign of the ISP router malfunctioning?",The internet connection completely dropped.,The router emitted a strange noise.,A stream was dropped or communication became choppy.,The router's indicator lights turned red.,C
37,What foundational knowledge is suggested to be acquired before starting a journey toward an ethical hacking certification?,Advanced cryptography techniques,Detailed network security hardware configurations,Fundamental definitions and terminology of security,Complex software development principles,C
38,What foundational networking protocol knowledge is emphasized as crucial for understanding security discussions and conversations?,HTTP/HTTPS,TCP/IP,FTP/SFTP,DNS,B
39,Which certification exam is described as difficult and not recommended as a first certification experience?,CompTIA Security+,Certified Ethical Hacker (CEH),Network+,Certified Information Systems Security Professional (CISSP),B
40,Which of the following actions is advised against if an individual fails the ethical hacking exam?,Reviewing study materials to identify areas for improvement.,Seeking advice from other candidates who passed the exam.,Blaming external factors or individuals for the failure.,Practicing ethical hacking techniques learned during preparation.,C
41,"When preparing for a certification exam that may differ from real-world practices, what approach is recommended regarding the exam's content?",Prioritize real-world experience over the exam's specific scenarios.,Assume the exam perfectly mirrors real-world situations.,"Study and learn the exam's specific requirements, even if they diverge from real-world applications.",Focus solely on practical skills without reviewing theoretical concepts.,C
42,"According to the text, what should you do if you're unsure about an answer during exam review, unless you are absolutely certain you initially picked the wrong choice?",Re-read the question to find hidden meanings.,Change your initial answer to a different option.,Leave the answer unchanged.,Skip the question and come back to it later.,C
43,The OSI model is primarily used to facilitate structured discussion and understanding of networks by:,Providing a standardized hardware specification for network devices.,Outlining a theoretical framework for network communications.,Dictating the specific protocols that must be used in all networks.,Guaranteeing the security of data transmitted across networks.,B
44,What is the primary function of Layer 2 (Data Link layer) in networking?,To define the physical media used for signal transmission.,To manage addressing and ensure orderly data transmission in shared media.,To translate electrical signals into meaningful data for computers.,To select the appropriate type of radio wave for communication.,B
45,What is the primary function of a Layer 3 packet in networking?,To encapsulate all data from higher layers and identify machines within a specific network.,To provide reliable end-to-end delivery and error correction of messages.,To contain network addresses and routing information for inter-network communication.,To encode signals onto the physical media for transmission.,C
46,"Which layer in the OSI model is responsible for translating data into a format understandable by all systems, ensuring compatibility between different applications like email clients?",Session Layer,Application Layer,Presentation Layer,Transport Layer,C
47,Which of the following mnemonics is suggested in the text to help remember the order of the OSI model layers?,Do Sergeants Pay For Beer,All People Seem To Need Daily Planning,My Very Educated Mother Just Served Us Noodles,King Philip Came Over For Good Soup,B
48,"In a basic web browser exchange using the TCP/IP model, which protocol and port are typically used for an HTTP request to access a website?",FTP on port 21,SMTP on port 25,HTTP on port 80,DNS on port 53,C
49,"In an Ethernet TCP/IP network, what is the term for collections of bits arranged in a specific order that are built from the inside out and rely on information from upper layers?",Packets,Segments,Frames,Datagrams,C
50,What protocol does Joe's computer employ to obtain a local physical address when the IP address of the intended recipient is known but the local physical address is not?,DNS,TCP,ARP,FCS,C
51,"What protocol does a computer use to obtain the local, physical address needed to build a frame?",DNS,TCP,UDP,ARP,D
52,"According to the text, which security zone is described as a controlled buffer network between an organization and the uncontrolled chaos of the Internet?",Internet,Internal Network,Internet DMZ,Trusted Zone,C
53,Which network zone is described as a restricted zone that strictly controls direct access from uncontrolled zones and does not house users?,DMZ network zone,Production network zone,Intranet zone,Management network zone,B
